year,se,department,cases,casos acumulados,población,incidencia_x_100milHab,casos_estandarizados,estacion_met,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4
2023,13,Pando,76,1435,163727,46.81,46.42,,5.9142857,31.357143,22.271429,0.777,27.99
2023,14,Pando,103,1538,163727,63.47,62.91,,3.9285714,31.171429,22.214286,0.777,27.99
2023,15,Pando,124,1662,163727,76.45,75.74,,4.3285714,33.785714,22.628571,0.774,27.99
2023,16,Pando,134,1796,163727,82.68,81.84,,1.8285714,31.016667,22.3,0.793,27.99
2023,17,Pando,114,1910,163727,70.40,69.63,,8.7,33.757143,22.266667,0.815,27.99
2023,18,Pando,44,1954,163727,27.19,26.87,,4.55,32.942857,22.85,0.815,28.35
2023,19,Pando,20,1974,163727,12.36,12.22,,4.4142857,29.442857,21.171429,0.834,28.35
2023,20,Pando,24,1998,163727,14.84,14.66,,.07142857,34.057143,21.083333,0.836,28.35
2023,21,Pando,20,2018,163727,12.37,12.22,,9.9166667,31.783333,22.34,0.836,28.35
2023,22,Pando,23,2041,163727,14.22,14.05,,8.7666667,28.785714,21.033333,0.857,28.59
2023,23,Pando,16,2057,163727,9.90,9.77,,0,33.628571,22.071429,0.856,28.59
2023,24,Pando,4,2061,163727,2.47,2.44,,1.4571429,25.142857,15.185714,0.856,28.59
2023,25,Pando,13,2074,163727,8.04,7.94,,0,33.185714,18.442857,0.841,28.59
2023,26,Pando,13,2087,163727,8.04,7.94,,0,33.957143,20.671429,0.816,28.37
2023,27,Pando,24,2111,163727,14.85,14.66,,0,34.657143,20.042857,0.816,28.37
2023,28,Pando,15,2126,163727,9.28,9.16,,.01428571,32.485714,20.014286,0.795,28.37
2023,29,Pando,10,2136,163727,6.19,6.11,,0,33.185714,19.028571,0.763,28.37
2023,30,Pando,16,2152,163727,9.90,9.77,,0,34.571429,20.242857,0.699,28.37
2023,31,Pando,9,2161,163727,5.57,5.50,,.04285714,35.657143,20.042857,0.699,28.2
2023,32,Pando,16,2177,163727,9.90,9.77,,1.6714286,35.357143,21.6,0.626,28.2
2023,33,Pando,14,2191,163727,8.67,8.55,,0,33.328571,19.585714,0.59,28.2
2023,34,Pando,21,2212,163727,13.00,12.83,,0,37.985714,22.985714,0.59,28.2
2023,35,Pando,15,2227,163727,9.29,9.16,,.66666667,36,21.35,0.582,28.29
2023,36,Pando,11,2238,163727,6.81,6.72,,4.2,37.1,22.3,0.605,28.29
2023,37,Pando,2,2240,163727,1.24,1.22,,2.1428571,35.171429,22.571429,0.605,28.29
2023,38,Pando,14,2254,163727,8.67,8.55,,.24285714,36.757143,22.642857,0.677,28.29
2023,1,Potosi,0,0,916087,0.00,0.00,,1.1142857,21.614286,8.7428571,0.401,25.88
2023,2,Potosi,0,0,916087,0.00,0.00,,.6,20.171429,6.6857143,0.415,25.88
2023,3,Potosi,0,0,916087,0.00,0.00,,.02857143,19.985714,9.2285714,0.433,25.88
