year,se,cases,Precipitación,Temperatura_Máxima,Temperatura_Mínima,NDVI,NINO_3_4,cases_avg_2w
2023.0,21.0,0.0,0.0,17.614286,-3.2714286,0.308,28.35,0.0
2023.0,22.0,0.0,0.15714286,17.7,-3.9428571,0.289,28.59,0.0
2023.0,23.0,0.0,0.0,16.885714,-6.2571429,0.272,28.59,0.0
2023.0,24.0,0.0,0.0,15.771429,-7.7,0.272,28.59,0.0
2023.0,25.0,0.0,0.0,16.142857,-7.4428571,0.262,28.59,0.0
2023.0,26.0,0.0,0.0,16.685714,-6.5857143,0.255,28.37,0.0
2023.0,27.0,0.0,0.0,17.5,-6.7285714,0.255,28.37,0.0
2023.0,28.0,0.0,0.0,18.485714,-5.9,0.245,28.37,0.0
2023.0,29.0,0.0,0.0,19.171429,-3.8714286,0.241,28.37,0.0
2023.0,30.0,0.0,0.1,18.314286,-4.6,0.237,28.37,0.0
2023.0,31.0,0.0,0.22857143,18.4,-5.3857143,0.237,28.2,0.0
2023.0,32.0,0.0,0.0,18.471429,-3.9285714,0.237,28.2,0.0
2023.0,33.0,0.0,0.0,17.814286,-3.7857143,0.233,28.2,0.0
2023.0,34.0,0.0,0.0,18.128571,-7.1,0.233,28.2,0.0
2023.0,35.0,0.0,0.0,20.06,-3.28,0.237,28.29,0.0
2023.0,36.0,0.0,0.0,18.142857,-2.8571429,0.244,28.29,0.0
2023.0,37.0,0.0,0.0,19.828571,-2.1428571,0.244,28.29,0.0
2023.0,38.0,0.0,0.24285714,20.828571,-3.2428571,0.249,28.29,0.0
2023.0,1.0,40.0,6.0857143,30.771429,21.314286,0.759,25.88,20.0
2023.0,2.0,44.0,0.0,33.942857,22.9,0.773,25.88,42.0
2023.0,3.0,59.0,17.185714,31.014286,22.128571,0.785,25.88,51.5
2023.0,4.0,89.0,1.3285714,33.271429,22.585714,0.785,25.88,74.0
2023.0,5.0,110.0,13.0,29.585714,22.171429,0.796,26.29,99.5
2023.0,6.0,157.0,5.1857143,30.685714,22.628571,0.756,26.29,133.5
2023.0,7.0,185.0,7.1,31.685714,23.357143,0.756,26.29,171.0
2023.0,8.0,141.0,3.8857143,31.857143,20.614286,0.768,26.29,163.0
2023.0,9.0,152.0,9.9571429,33.457143,23.442857,0.784,27.23,146.5
2023.0,10.0,172.0,11.1,32.257143,23.542857,0.758,27.23,162.0
2023.0,11.0,122.0,2.9714286,32.557143,22.785714,0.758,27.23,147.0
2023.0,12.0,88.0,19.157143,30.371429,21.728571,0.769,27.23,105.0
2023.0,13.0,76.0,5.9142857,31.357143,22.271429,0.777,27.99,82.0
2023.0,14.0,103.0,3.9285714,31.171429,22.214286,0.777,27.99,89.5
2023.0,15.0,124.0,4.3285714,33.785714,22.628571,0.774,27.99,113.5
2023.0,16.0,134.0,1.8285714,31.016667,22.3,0.793,27.99,129.0
2023.0,17.0,114.0,8.7,33.757143,22.266667,0.815,27.99,124.0
2023.0,18.0,44.0,4.55,32.942857,22.85,0.815,28.35,79.0
2023.0,19.0,20.0,4.4142857,29.442857,21.171429,0.834,28.35,32.0
2023.0,20.0,24.0,0.07142857,34.057143,21.083333,0.836,28.35,22.0
2023.0,21.0,20.0,9.9166667,31.783333,22.34,0.836,28.35,22.0
2023.0,22.0,23.0,8.7666667,28.785714,21.033333,0.857,28.59,21.5
2023.0,23.0,16.0,0.0,33.628571,22.071429,0.856,28.59,19.5
2023.0,24.0,4.0,1.4571429,25.142857,15.185714,0.856,28.59,10.0
2023.0,25.0,13.0,0.0,33.185714,18.442857,0.841,28.59,8.5
2023.0,26.0,13.0,0.0,33.957143,20.671429,0.816,28.37,13.0
2023.0,27.0,24.0,0.0,34.657143,20.042857,0.816,28.37,18.5
2023.0,28.0,15.0,0.01428571,32.485714,20.014286,0.795,28.37,19.5
2023.0,29.0,10.0,0.0,33.185714,19.028571,0.763,28.37,12.5
2023.0,30.0,16.0,0.0,34.571429,20.242857,0.699,28.37,13.0
2023.0,31.0,9.0,0.04285714,35.657143,20.042857,0.699,28.2,12.5
2023.0,32.0,16.0,1.6714286,35.357143,21.6,0.626,28.2,12.5
2023.0,33.0,14.0,0.0,33.328571,19.585714,0.59,28.2,15.0
2023.0,34.0,21.0,0.0,37.985714,22.985714,0.59,28.2,17.5
2023.0,35.0,15.0,0.66666667,36.0,21.35,0.582,28.29,18.0
2023.0,36.0,11.0,4.2,37.1,22.3,0.605,28.29,13.0
2023.0,37.0,2.0,2.1428571,35.171429,22.571429,0.605,28.29,6.5
2023.0,38.0,14.0,0.24285714,36.757143,22.642857,0.677,28.29,8.0
2023.0,1.0,0.0,1.1142857,21.614286,8.7428571,0.401,25.88,7.0
2023.0,2.0,0.0,0.6,20.171429,6.6857143,0.415,25.88,0.0
2023.0,3.0,0.0,0.02857143,19.985714,9.2285714,0.433,25.88,0.0
2023.0,4.0,0.0,3.7714286,20.757143,7.2,0.433,25.88,0.0
2023.0,5.0,1.0,4.3857143,20.442857,8.9428571,0.459,26.29,0.5
2023.0,6.0,1.0,4.7285714,21.657143,8.3428571,0.485,26.29,1.0
2023.0,7.0,2.0,1.8428571,21.628571,7.6857143,0.485,26.29,1.5
2023.0,8.0,3.0,0.0,19.757143,6.4571429,0.481,26.29,2.5
2023.0,9.0,1.0,0.6,20.542857,7.8714286,0.484,27.23,2.0
2023.0,10.0,0.0,1.1714286,20.142857,7.6,0.489,27.23,0.5
2023.0,11.0,2.0,0.64285714,19.985714,6.0857143,0.489,27.23,1.0
2023.0,12.0,0.0,0.91428571,19.014286,5.6571429,0.487,27.23,1.0
2023.0,13.0,0.0,2.7,19.3,6.4142857,0.481,27.99,0.0
2023.0,14.0,0.0,1.8857143,20.271429,7.3142857,0.481,27.99,0.0
2023.0,15.0,0.0,0.0,19.214286,6.3,0.468,27.99,0.0
2023.0,16.0,0.0,0.0,19.742857,6.0285714,0.446,27.99,0.0
2023.0,17.0,0.0,0.0,19.985714,6.0285714,0.423,27.99,0.0
2023.0,18.0,0.0,0.0,22.257143,2.6,0.423,28.35,0.0
2023.0,19.0,0.0,0.0,22.128571,-1.1857143,0.396,28.35,0.0
2023.0,20.0,0.0,0.0,19.185714,4.2428571,0.362,28.35,0.0
2023.0,21.0,0.0,0.0,21.0,0.97142857,0.362,28.35,0.0
2023.0,22.0,0.0,0.0,20.442857,3.6,0.345,28.59,0.0
2023.0,23.0,0.0,0.0,20.657143,6.0285714,0.328,28.59,0.0
2023.0,24.0,0.0,0.0,19.242857,3.2571429,0.328,28.59,0.0
2023.0,25.0,0.0,0.0,18.542857,2.5285714,0.315,28.59,0.0
2023.0,26.0,0.0,0.0,19.716667,-1.5333333,0.307,28.37,0.0
2023.0,27.0,0.0,0.0,17.9,-0.71428571,0.307,28.37,0.0
2023.0,28.0,0.0,0.0,16.685714,4.0285714,0.293,28.37,0.0
2023.0,29.0,0.0,0.0,19.985714,2.3142857,0.287,28.37,0.0
2023.0,30.0,0.0,0.0,20.842857,1.4571429,0.279,28.37,0.0
2023.0,31.0,0.0,0.0,19.84,-3.8,0.279,28.2,0.0
2023.0,32.0,0.0,0.15714286,18.071429,-7.8857143,0.274,28.2,0.0
2023.0,33.0,0.0,0.07142857,20.1,-5.1428571,0.263,28.2,0.0
2023.0,34.0,0.0,0.0,19.442857,-5.3285714,0.263,28.2,0.0
2023.0,35.0,0.0,0.0,19.228571,-5.5571429,0.259,28.29,0.0
2023.0,36.0,0.0,0.0,15.614286,-1.7,0.261,28.29,0.0
2023.0,37.0,0.0,0.0,16.285714,1.1714286,0.261,28.29,0.0
2023.0,38.0,0.0,0.0,21.228571,1.4571429,0.263,28.29,0.0
2023.0,1.0,1080.0,0.0,27.5,25.5,0.729,25.88,540.0
2023.0,2.0,1906.0,0.0,25.666667,24.0,0.748,25.88,1493.0
2023.0,3.0,4150.0,0.0,27.0,23.0,0.788,25.88,3028.0
2023.0,4.0,7198.0,1.8428571,27.333333,24.666667,0.788,25.88,5674.0
2023.0,5.0,7837.0,0.0,25.5,23.0,0.79,26.29,7517.5
2023.0,6.0,9377.0,0.0,26.25,23.0,0.783,26.29,8607.0
2023.0,7.0,9353.0,5.6,26.25,23.75,0.783,26.29,9365.0
2023.0,8.0,6390.0,2.44,25.8,21.8,0.784,26.29,7871.5
2023.0,9.0,7230.0,0.425,25.0,23.5,0.782,27.23,6810.0
2023.0,10.0,6858.0,2.08,26.666667,24.666667,0.786,27.23,7044.0
2023.0,11.0,6128.0,0.0,26.0,24.0,0.786,27.23,6493.0
2023.0,12.0,5662.0,2.26,23.666667,22.5,0.776,27.23,5895.0
2023.0,13.0,4834.0,4.2,27.666667,22.666667,0.769,27.99,5248.0
2023.0,14.0,3789.0,0.04,24.5,20.333333,0.769,27.99,4311.5
2023.0,15.0,3801.0,7.32,25.833333,21.166667,0.737,27.99,3795.0
2023.0,16.0,2945.0,0.0,21.833333,20.666667,0.727,27.99,3373.0
2023.0,17.0,2906.0,0.0,25.0,22.142857,0.724,27.99,2925.5
2023.0,18.0,1663.0,0.0,21.25,19.0,0.724,28.35,2284.5
2023.0,19.0,1528.0,0.0,18.0,18.0,0.716,28.35,1595.5
2023.0,20.0,1148.0,0.0,27.8,25.8,0.708,28.35,1338.0
2023.0,21.0,865.0,0.0,28.0,25.0,0.708,28.35,1006.5
2023.0,22.0,533.0,0.7,24.666667,21.0,0.711,28.59,699.0
2023.0,23.0,473.0,4.14,27.333333,22.5,0.711,28.59,503.0
2023.0,24.0,275.0,0.0,19.5,11.75,0.711,28.59,374.0
2023.0,25.0,216.0,0.0,24.5,23.0,0.707,28.59,245.5
2023.0,26.0,200.0,0.0,28.5,23.0,0.681,28.37,208.0
2023.0,27.0,162.0,0.0,24.5,21.5,0.681,28.37,181.0
2023.0,28.0,157.0,0.0,15.5,15.5,0.642,28.37,159.5
2023.0,29.0,155.0,0.7,23.8,23.2,0.612,28.37,156.0
2023.0,30.0,123.0,0.0,22.5,18.25,0.572,28.37,139.0
2023.0,31.0,80.0,1.3,32.0,19.0,0.572,28.2,101.5
2023.0,32.0,172.0,2.925,28.0,28.0,0.528,28.2,126.0
2023.0,33.0,166.0,0.0,23.485714,18.971429,0.504,28.2,169.0
2023.0,34.0,202.0,0.0,28.171429,20.785714,0.504,28.2,184.0
2023.0,35.0,211.0,0.0,25.333333,19.833333,0.508,28.29,206.5
2023.0,36.0,163.0,1.6428571,25.0,20.0,0.525,28.29,187.0
2023.0,37.0,148.0,0.57142857,32.685714,19.114286,0.525,28.29,155.5
2023.0,38.0,61.0,0.0,28.0,28.0,0.544,28.29,104.5
2023.0,1.0,7.0,0.0,18.485714,18.485714,0.677,25.88,34.0
2023.0,2.0,33.0,1.6,20.671429,20.671429,0.684,25.88,20.0
2023.0,3.0,74.0,1.3,21.883333,21.883333,0.698,25.88,53.5
2023.0,4.0,126.0,2.6857143,20.857143,20.857143,0.698,25.88,100.0
2023.0,5.0,186.0,7.8857143,16.771429,16.771429,0.718,26.29,156.0
2023.0,6.0,443.0,2.1857143,16.7,16.7,0.728,26.29,314.5
2023.0,7.0,566.0,5.3857143,19.028571,19.028571,0.728,26.29,504.5
2023.0,8.0,690.0,0.4,20.0,20.0,0.721,26.29,628.0
2023.0,9.0,1135.0,7.6142857,20.014286,20.014286,0.72,27.23,912.5
2023.0,10.0,1546.0,0.0,20.757143,20.757143,0.715,27.23,1340.5
2023.0,11.0,1428.0,5.7,19.066667,19.066667,0.715,27.23,1487.0
2023.0,12.0,1819.0,2.8571429,18.171429,18.171429,0.708,27.23,1623.5
2023.0,13.0,1701.0,16.2,18.871429,18.871429,0.702,27.99,1760.0
2023.0,14.0,1637.0,7.2142857,18.471429,18.471429,0.702,27.99,1669.0
2023.0,15.0,1361.0,0.68571429,21.05,21.05,0.676,27.99,1499.0
2023.0,16.0,903.0,0.71428571,21.433333,21.433333,0.678,27.99,1132.0
2023.0,17.0,565.0,5.8,21.35,21.35,0.68,27.99,734.0
2023.0,18.0,360.0,1.4571429,20.314286,20.314286,0.68,28.35,462.5
2023.0,19.0,240.0,0.0,19.714286,19.714286,0.668,28.35,300.0
2023.0,20.0,208.0,0.0,21.885714,21.885714,0.65,28.35,224.0
2023.0,21.0,191.0,0.0,21.5,21.5,0.65,28.35,199.5
2023.0,22.0,140.0,0.5,20.942857,20.942857,0.624,28.59,165.5
2023.0,23.0,98.0,0.0,21.416667,21.416667,0.591,28.59,119.0
2023.0,24.0,60.0,0.0,15.642857,15.642857,0.591,28.59,79.0
2023.0,25.0,41.0,0.0,21.228571,21.228571,0.584,28.59,50.5
2023.0,26.0,22.0,0.0,20.785714,20.785714,0.566,28.37,31.5
2023.0,27.0,7.0,0.0,23.471429,23.471429,0.566,28.37,14.5
2023.0,28.0,6.0,0.44285714,21.757143,21.757143,0.532,28.37,6.5
2023.0,29.0,9.0,0.0,22.257143,22.257143,0.503,28.37,7.5
2023.0,30.0,2.0,0.0,20.4,20.4,0.471,28.37,5.5
2023.0,31.0,2.0,0.0,21.771429,21.771429,0.471,28.2,2.0
2023.0,32.0,7.0,0.0,19.885714,19.885714,0.45,28.2,4.5
2023.0,33.0,3.0,0.0,22.542857,22.542857,0.428,28.2,5.0
2023.0,34.0,7.0,0.0,23.471429,23.471429,0.428,28.2,5.0
2023.0,35.0,10.0,0.0,23.928571,23.928571,0.421,28.29,8.5
2023.0,36.0,9.0,0.0,22.042857,22.042857,0.426,28.29,9.5
2023.0,37.0,5.0,0.0,23.914286,23.914286,0.426,28.29,7.0
2023.0,38.0,5.0,0.0,23.914286,23.914286,0.447,28.29,5.0
2022.0,1.0,67.0,5.4,31.371429,21.871429,0.734,25.73,36.0
2022.0,2.0,36.0,1.2428571,31.085714,22.785714,0.729,25.73,51.5
2022.0,3.0,25.0,3.3666667,30.806667,20.933333,0.735,25.73,30.5
2022.0,4.0,39.0,12.3,32.733333,21.6,0.74,25.73,32.0
2022.0,5.0,47.0,4.025,31.933333,21.875,0.74,26.02,43.0
2022.0,6.0,75.0,9.84,30.34,20.9,0.723,26.02,61.0
2022.0,7.0,88.0,5.8,31.9,21.225,0.745,26.02,81.5
